DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-01-01,15,9,12,10,13,12,0,94,8,1025,14.375,15,10,8,113,113,113,0,3,8.6,météo correcte,17:05:00,08:44:00,10
2022-01-02,14,10,22,11,13,13,0.2,83,10,1023,72,14,10,9,122,119,176,0,4,5.1,météo défavorable,17:06:00,08:44:00,11
2022-01-03,12,10,18,11,12,11,2.8,87,8.75,1020,89,12,10,8,119,122,296,0,3,5.1,météo défavorable,17:07:00,08:44:00,12
2022-01-04,15,3,32,12,15,4,8.9,85,6.5,1014,97.5,15,10,4,296,266,338,1,3,3.2,météo défavorable,17:08:00,08:44:00,11
2022-01-05,6,3,18,3,5,5,0.5,68,10,1023,72,6,3,-1,113,122,119,0,1,5.1,météo très défavorable,17:09:00,08:43:00,4
2022-01-06,7,3,11,4,7,5,0,76,10,1025,52,7,1,3,116,113,119,0,2,8.7,météo très défavorable,17:10:00,08:43:00,5
2022-01-07,8,3,21,5,6,7,0.4,87,9,1023,78.375,8,3,1,176,122,176,0,2,3.3,météo très défavorable,17:11:00,08:43:00,3
2022-01-08,10,3,29,4,7,10,3.1,92,7.75,1019,94,10,7,1,122,266,296,0,2,3.3,météo très défavorable,17:12:00,08:42:00,3
2022-01-09,7,4,19,4,6,7,0.6,78,10,1016,53.25,7,3,0,116,116,176,0,2,6.9,météo très défavorable,17:14:00,08:42:00,5
2022-01-10,8,4,7,4,7,7,0.2,92,9.875,1025,80.875,8,4,2,122,116,122,0,2,6.9,météo très défavorable,17:15:00,08:42:00,5
2022-01-11,6,1,5,1,5,5,0,83,10,1037,24.25,6,0,0,113,113,116,0,2,8.7,météo très défavorable,17:16:00,08:41:00,2
2022-01-12,5,2,9,3,4,5,0,75,10,1040,52.625,5,1,2,116,122,113,0,2,3.3,météo très défavorable,17:18:00,08:41:00,2
2022-01-13,9,1,12,1,6,7,0,87,10,1040,1.75,9,3,-2,113,113,113,0,2,8.7,météo très défavorable,17:19:00,08:40:00,1
2022-01-14,11,2,6,2,9,9,0,78,10,1038,0.75,11,4,0,113,113,113,0,3,8.7,météo très défavorable,17:20:00,08:39:00,3
2022-01-15,8,3,5,3,6,8,0,86,10,1032,27.75,8,3,1,113,122,113,0,3,5.1,météo très défavorable,17:22:00,08:39:00,4
2022-01-16,7,2,10,2,6,6,0,94,10,1033,47.625,7,3,-1,116,119,116,0,2,5.1,météo très défavorable,17:23:00,08:38:00,2
2022-01-17,11,5,8,6,9,10,0,97,5.75,1039,44.375,11,7,6,143,116,113,0,2,6.9,météo défavorable,17:25:00,08:37:00,5
